"1","summary"
"Age","N","%"
"1",18,8.82
"2",86,42.16
"3",50,24.51
"4",50,24.51
"Education","N","%"
"1",1,0.49
"2",23,11.27
"3",58,28.43
"4",29,14.22
"5",71,34.8
"6",16,7.84
"7",2,0.98
"8",4,1.96
"Hispanic_indicator","N","%"
"1",19,9.31
"2",185,90.69
"Hispandnic","N","%"
"1",5,26.32
"2",10,52.63
"3",4,21.05
"Race","N","%"
"1",153,75
"2",15,7.35
"4",23,11.27
"6",1,0.49
"7",12,5.88
"Sex","N","%"
"1",104,51.74
"2",97,48.26
"before_tax_income","N","%"
"1",11,5.42
"2",22,10.84
"3",36,17.73
"4",25,12.32
"5",24,11.82
"6",16,7.88
"7",16,7.88
"8",15,7.39
"9",9,4.43
"10",8,3.94
"11",17,8.37
"12",4,1.97
"Spending_power","N","%"
"4",113,55.94
"5",23,11.39
"6",10,4.95
"7",14,6.93
"8",2,0.99
"9",8,3.96
"10",5,2.48
"11",2,0.99
"12",6,2.97
"14",6,2.97
"15",13,6.44
"hypothetical_insurance_status","N","%"
"0",184,91.09
"1",15,7.43
"2",3,1.49
"acutual_insurance_status","N","%"
"1",85,42.08
"2",28,13.86
"3",26,12.87
"4",13,6.44
"5",12,5.94
"6",38,18.81
"Drug_Type","N","%"
"0",101,49.51
"1",103,50.49
"Bucarin_consumption","N","%"
"0",160,78.43
"1",44,21.57
