"1","summary"
"Age","N","%"
"1",26,12.87
"2",94,46.53
"3",39,19.31
"4",43,21.29
"Education","N","%"
"1",2,0.99
"2",19,9.41
"3",58,28.71
"4",29,14.36
"5",66,32.67
"6",20,9.9
"7",3,1.49
"8",5,2.48
"Hispanic_indicator","N","%"
"1",26,12.94
"2",175,87.06
"Hispandnic","N","%"
"1",2,8
"2",19,76
"3",4,16
"Race","N","%"
"1",143,71.5
"2",17,8.5
"3",1,0.5
"4",22,11
"6",9,4.5
"7",8,4
"Sex","N","%"
"1",109,54.23
"2",92,45.77
"before_tax_income","N","%"
"1",19,9.5
"2",17,8.5
"3",31,15.5
"4",24,12
"5",24,12
"6",18,9
"7",10,5
"8",21,10.5
"9",8,4
"10",10,5
"11",13,6.5
"12",5,2.5
"Spending_power","N","%"
"4",99,49.75
"5",21,10.55
"6",20,10.05
"7",10,5.03
"8",4,2.01
"9",11,5.53
"10",3,1.51
"11",1,0.5
"12",3,1.51
"13",1,0.5
"14",5,2.51
"15",21,10.55
"hypothetical_insurance_status","N","%"
"0",3,1.49
"1",43,21.29
"2",156,77.23
"acutual_insurance_status","N","%"
"1",88,43.56
"2",28,13.86
"3",17,8.42
"4",18,8.91
"5",15,7.43
"6",36,17.82
"Drug_Type","N","%"
"0",100,49.5
"1",102,50.5
"Bucarin_consumption","N","%"
"0",96,47.52
"1",106,52.48
