"1","summary"
"Age","N","%"
"1",7,6.8
"2",35,33.98
"3",29,28.16
"4",32,31.07
"Education","N","%"
"1",1,0.97
"2",11,10.68
"3",31,30.1
"4",12,11.65
"5",36,34.95
"6",8,7.77
"7",1,0.97
"8",3,2.91
"Hispanic_indicator","N","%"
"1",11,10.68
"2",92,89.32
"Hispandnic","N","%"
"1",2,18.18
"2",7,63.64
"3",2,18.18
"Race","N","%"
"1",80,77.67
"2",8,7.77
"4",11,10.68
"6",1,0.97
"7",3,2.91
"Sex","N","%"
"1",52,50.98
"2",50,49.02
"before_tax_income","N","%"
"1",5,4.9
"2",6,5.88
"3",24,23.53
"4",9,8.82
"5",16,15.69
"6",10,9.8
"7",6,5.88
"8",9,8.82
"9",5,4.9
"10",1,0.98
"11",9,8.82
"12",2,1.96
"Spending_power","N","%"
"4",49,47.57
"5",11,10.68
"6",8,7.77
"7",9,8.74
"8",2,1.94
"9",6,5.83
"10",4,3.88
"11",1,0.97
"12",4,3.88
"14",5,4.85
"15",4,3.88
"hypothetical_insurance_status","N","%"
"0",96,94.12
"1",5,4.9
"2",1,0.98
"acutual_insurance_status","N","%"
"1",43,42.16
"2",13,12.75
"3",11,10.78
"4",8,7.84
"5",8,7.84
"6",19,18.63
"Bucarin_consumption","N","%"
"0",80,77.67
"1",23,22.33
