"1","summary"
"Age","N","%"
"1",11,11
"2",48,48
"3",21,21
"4",20,20
"Education","N","%"
"1",2,2
"2",9,9
"3",25,25
"4",12,12
"5",36,36
"6",12,12
"7",2,2
"8",2,2
"Hispanic_indicator","N","%"
"1",9,9.09
"2",90,90.91
"Hispandnic","N","%"
"2",8,88.89
"3",1,11.11
"Race","N","%"
"1",72,72
"2",9,9
"4",12,12
"6",6,6
"7",1,1
"Sex","N","%"
"1",54,54.55
"2",45,45.45
"before_tax_income","N","%"
"1",6,6.06
"2",6,6.06
"3",13,13.13
"4",9,9.09
"5",18,18.18
"6",11,11.11
"7",4,4.04
"8",11,11.11
"9",6,6.06
"10",4,4.04
"11",8,8.08
"12",3,3.03
"Spending_power","N","%"
"4",44,44.44
"5",13,13.13
"6",9,9.09
"7",4,4.04
"8",3,3.03
"9",8,8.08
"10",2,2.02
"12",1,1.01
"13",1,1.01
"14",2,2.02
"15",12,12.12
"hypothetical_insurance_status","N","%"
"0",1,1
"1",17,17
"2",82,82
"acutual_insurance_status","N","%"
"1",50,50
"2",17,17
"3",8,8
"4",6,6
"5",8,8
"6",11,11
"Bucarin_consumption","N","%"
"0",57,57
"1",43,43
