"1","summary"
"Age","N","%"
"1",15,14.85
"2",44,43.56
"3",25,24.75
"4",17,16.83
"Education","N","%"
"2",9,8.82
"3",31,30.39
"4",14,13.73
"5",36,35.29
"6",9,8.82
"7",1,0.98
"8",2,1.96
"Hispanic_indicator","N","%"
"1",6,5.88
"2",96,94.12
"Hispandnic","N","%"
"2",5,83.33
"3",1,16.67
"Race","N","%"
"1",77,75.49
"2",6,5.88
"3",1,0.98
"4",10,9.8
"6",3,2.94
"7",5,4.9
"Sex","N","%"
"1",56,54.9
"2",46,45.1
"before_tax_income","N","%"
"1",11,10.78
"2",12,11.76
"3",14,13.73
"4",9,8.82
"5",9,8.82
"6",18,17.65
"7",6,5.88
"8",6,5.88
"9",5,4.9
"10",1,0.98
"11",9,8.82
"12",2,1.96
"Spending_power","N","%"
"4",48,48
"5",18,18
"6",10,10
"7",2,2
"8",1,1
"9",4,4
"11",2,2
"12",3,3
"14",2,2
"15",10,10
"hypothetical_insurance_status","N","%"
"0",4,3.92
"1",96,94.12
"2",2,1.96
"acutual_insurance_status","N","%"
"1",38,37.25
"2",15,14.71
"3",7,6.86
"4",8,7.84
"5",11,10.78
"6",23,22.55
"Bucarin_consumption","N","%"
"0",29,28.43
"1",73,71.57
