"1","summary"
"Age","N","%"
"1",15,14.71
"2",46,45.1
"3",18,17.65
"4",23,22.55
"Education","N","%"
"2",10,9.8
"3",33,32.35
"4",17,16.67
"5",30,29.41
"6",8,7.84
"7",1,0.98
"8",3,2.94
"Hispanic_indicator","N","%"
"1",17,16.67
"2",85,83.33
"Hispandnic","N","%"
"1",2,12.5
"2",11,68.75
"3",3,18.75
"Race","N","%"
"1",71,71
"2",8,8
"3",1,1
"4",10,10
"6",3,3
"7",7,7
"Sex","N","%"
"1",55,53.92
"2",47,46.08
"before_tax_income","N","%"
"1",13,12.87
"2",11,10.89
"3",18,17.82
"4",15,14.85
"5",6,5.94
"6",7,6.93
"7",6,5.94
"8",10,9.9
"9",2,1.98
"10",6,5.94
"11",5,4.95
"12",2,1.98
"Spending_power","N","%"
"4",55,55
"5",8,8
"6",11,11
"7",6,6
"8",1,1
"9",3,3
"10",1,1
"11",1,1
"12",2,2
"14",3,3
"15",9,9
"hypothetical_insurance_status","N","%"
"0",2,1.96
"1",26,25.49
"2",74,72.55
"acutual_insurance_status","N","%"
"1",38,37.25
"2",11,10.78
"3",9,8.82
"4",12,11.76
"5",7,6.86
"6",25,24.51
"Bucarin_consumption","N","%"
"0",39,38.24
"1",63,61.76
